ACC,No,NS
PLN PERSERO. PT,VEBA000333,PLN PERSERO. PT
ADIJAYA BUANASANTOSA,VEBA000334,ADIJAYA BUANASANTOSA
ROYAL TEKNINK GEMILANG . PT,VEBA000335,ROYAL TEKNINK GEMILANG . PT
HAGAJAYA KEMASINDO SARANA . PT,VEBA000336,HAGAJAYA KEMASINDO SARANA . PT
T KAN VARIASI,VEBA000337,T KAN VARIASI
BINTANG CEMERLANG ABADI,VEBA000338,BINTANG CEMERLANG ABADI
ADICITRA BHIRAWA. PT,VEBA000339,ADICITRA BHIRAWA. PT
MAKMUR JAYA AIR,VEBA000340,MAKMUR JAYA AIR
SENJA AYU,VEBA000341,SENJA AYU
MURNI MAPAN MANDIRI. PT,VEBA000342,MURNI MAPAN MANDIRI. PT
DENSO NEO AUTOKOOL. PT,VEBA000343,DENSO NEO AUTOKOOL. PT
WARU GUNUNG. PT,VEBA000344,WARU GUNUNG. PT
SEKAR JAYA MOTOR,VEBA000345,SEKAR JAYA MOTOR
BIOTEK INTI KORPORINDO. PT,VEBA000346,BIOTEK INTI KORPORINDO. PT
ANUGERAH BERLIMPAH BERKAT ABADI . PT,VEBA000347,ANUGERAH BERLIMPAH BERKAT ABADI . PT
RAJA KANTOR SURABAYA,VEBA000348,RAJA KANTOR SURABAYA
NASIONAL ELECTRONIC,VEBA000349,NASIONAL ELECTRONIC
WIRATECH JAYA MANDIRI . CV,VEBA000350,WIRATECH JAYA MANDIRI . CV
SB FLASH,VEBA000351,SB FLASH
BENGKEL MOBIL,VEBA000352,BENGKEL MOBIL
PT. ALIYAD DESTINASI INDONESIA,VEBA000353,PT. ALIYAD DESTINASI INDONESIA
HASIL NIAGA UD,VEBA000354,HASIL NIAGA UD
CHAIDAR CIOMAS,VEBA000355,CHAIDAR CIOMAS
HERI EXPEDISI,VEBA000356,HERI EXPEDISI
TUNAS TOYOTA,VEBA000357,TUNAS TOYOTA
TUNAS TOYOTA,VEBA000358,TUNAS TOYOTA
WAWAN CIOMAS,VEBA000359,WAWAN CIOMAS
ANDIK CIOMAS,VEBA000360,ANDIK CIOMAS
CIOMAS PROBOLINGGO,VEBA000361,CIOMAS PROBOLINGGO
CIOMAS KEDIRI,VEBA000362,CIOMAS KEDIRI
TIAS SIDOARJO,VEBA000363,TIAS SIDOARJO
HAIKAL,VEBA000364,HAIKAL
BENGKEL MOBIL DARJI,VEBA000365,BENGKEL MOBIL DARJI
CIOMAS TULUNG AGUNG,VEBA000366,CIOMAS TULUNG AGUNG
SUMBER JAYA BARU TOKO,VEBA000367,SUMBER JAYA BARU TOKO
CIOMAS BOJONEGORO,VEBA000368,CIOMAS BOJONEGORO
DEDI CIOMAS,VEBA000369,DEDI CIOMAS
AC WIJAYA,VEBA000370,AC WIJAYA
"IMM TOYOTA, INDRAPURA MEGAH MAKMUR. PT",VEBA000371,"IMM TOYOTA, INDRAPURA MEGAH MAKMUR. PT"
SATRIAGRAHA SEMPURNA . PT,VEBA000372,SATRIAGRAHA SEMPURNA . PT
SETIAWAN BAKTI JAYA. PT,VEBA000373,SETIAWAN BAKTI JAYA. PT
ADI JAYA . UD,VEBA000374,ADI JAYA . UD
CIOMAS MALANG,VEBA000375,CIOMAS MALANG
CIOMAS BLITAR,VEBA000376,CIOMAS BLITAR
SINAR SURYA,VEBA000377,SINAR SURYA
CIOMAS MOJOKERTO,VEBA000378,CIOMAS MOJOKERTO
SAUDARA JAYA / DUNIA TERPAL . UD,VEBA000379,SAUDARA JAYA / DUNIA TERPAL . UD
2 PUTRA JAYA,VEBA000380,2 PUTRA JAYA
CIOMAS JEMBER,VEBA000381,CIOMAS JEMBER
