ACC,No,NS
WARSITO,VEBA000165,WARSITO
TRAVEL KARYA SURABAYA MANDIRI,VEBA000166,TRAVEL KARYA SURABAYA MANDIRI
BAPAK JIMMY EDWARD,VEBA000167,BAPAK JIMMY EDWARD
FATA TEHNIK,VEBA000168,FATA TEHNIK
TOKO PLASTIK,VEBA000169,TOKO PLASTIK
ADIMAS ISOLASITAMA . PT,VEBA000170,ADIMAS ISOLASITAMA . PT
DHARMA KENCANA CV,VEBA000171,DHARMA KENCANA CV
PERRY COLLECTION,VEBA000172,PERRY COLLECTION
SURYA ABADI UD,VEBA000173,SURYA ABADI UD
SURYA ABADI UD,VEBA000174,SURYA ABADI UD
MARGONO,VEBA000175,MARGONO
RESTU MANDIRI UD,VEBA000176,RESTU MANDIRI UD
TRI CIOMAS,VEBA000177,TRI CIOMAS
DHARMA KENCAN CV,VEBA000178,DHARMA KENCAN CV
U MIRAL,VEBA000179,U MIRAL
JABAL RAHMAH APOTEK,VEBA000180,JABAL RAHMAH APOTEK
SURYA 2 STATIONARY,VEBA000181,SURYA 2 STATIONARY
MULYA JAYA . CV,VEBA000182,MULYA JAYA . CV
SURABAYA TEKNIK,VEBA000183,SURABAYA TEKNIK
SINAR GAS UD,VEBA000184,SINAR GAS UD
SUMBER AIR HIDUP CV,VEBA000185,SUMBER AIR HIDUP CV
SURYA TEKNIK,VEBA000186,SURYA TEKNIK
SUMBER REJEKI UD,VEBA000187,SUMBER REJEKI UD
SUMBER KUAT,VEBA000188,SUMBER KUAT
SUMBER BAROKAH UD,VEBA000189,SUMBER BAROKAH UD
ANEKA PRATAMA CV,VEBA000190,ANEKA PRATAMA CV
DIMENSI ALKES BRAWIJAYA 78,VEBA000191,DIMENSI ALKES BRAWIJAYA 78
CITRA GUNA LESTARI UD,VEBA000192,CITRA GUNA LESTARI UD
ARMA JAYA,VEBA000193,ARMA JAYA
BAPAK ANDRIE SALIM,VEBA000194,BAPAK ANDRIE SALIM
AKUR JAYA TB,VEBA000195,AKUR JAYA TB
CALTESYS INDONESIA PT,VEBA000196,CALTESYS INDONESIA PT
WM COMPUTER,VEBA000197,WM COMPUTER
SUMBER MAJU JAYA MAKMUR,VEBA000198,SUMBER MAJU JAYA MAKMUR
KJ PRODUCTION,VEBA000199,KJ PRODUCTION
AGUS EKA EXPEDITION,VEBA000200,AGUS EKA EXPEDITION
RA SURABAYA,VEBA000201,RA SURABAYA
LIMA JAYA,VEBA000202,LIMA JAYA
SUGIONO SERVICE ACCU,VEBA000203,SUGIONO SERVICE ACCU
BERKAT ANUGERAH,VEBA000204,BERKAT ANUGERAH
SULIS JAYA,VEBA000205,SULIS JAYA
PORTO FOOD INDONESIA . PT,VEBA000206,PORTO FOOD INDONESIA . PT
BEONE SUKSESTAMA TEKNOLOGI. PT,VEBA000207,BEONE SUKSESTAMA TEKNOLOGI. PT
SUMBER REZEKI - M. SUHUD,VEBA000208,SUMBER REZEKI - M. SUHUD
CENTURY BEARINDO INTERANTIONAL.PT,VEBA000209,CENTURY BEARINDO INTERANTIONAL.PT
TJANDRA PUTRA,VEBA000210,TJANDRA PUTRA
MILAGRO,VEBA000211,MILAGRO
RELA MOTOR . UD,VEBA000212,RELA MOTOR . UD
DUNIA ELEKTRIK,VEBA000213,DUNIA ELEKTRIK
AMANAH MULIA,VEBA000214,AMANAH MULIA
PUTRA COLLECTION,VEBA000215,PUTRA COLLECTION
PATRA,VEBA000216,PATRA
VICTORIA CEMERLANG . PT,VEBA000217,VICTORIA CEMERLANG . PT
AENKA TC,VEBA000218,AENKA TC
PATRA,VEBA000219,PATRA
INDO POWER,VEBA000220,INDO POWER
GLOBAL ADVINDO PRATAMA. PT,VEBA000221,GLOBAL ADVINDO PRATAMA. PT
KUSWANTO,VEBA000222,KUSWANTO
KENCANA BISOFA MAKMUR,VEBA000223,KENCANA BISOFA MAKMUR
INDOMARCO PRISMATAMA. PT (INDOMARET),VEBA000224,INDOMARCO PRISMATAMA. PT (INDOMARET)
LUNETTE,VEBA000225,LUNETTE
FLORES,VEBA000226,FLORES
FLORES,VEBA000227,FLORES
BAPAK DEDDY LIM,VEBA000228,BAPAK DEDDY LIM
MAJU TOKO,VEBA000229,MAJU TOKO
JAVA CUTTING STICKER,VEBA000230,JAVA CUTTING STICKER
FARIDA JAYA PLASTIK,VEBA000231,FARIDA JAYA PLASTIK
PACIFIC SWALAYAN,VEBA000232,PACIFIC SWALAYAN
APOTEK EMPU NALA,VEBA000233,APOTEK EMPU NALA
PELITA TOKO,VEBA000234,PELITA TOKO
POS INDONESIA PT (PERSERO),VEBA000235,POS INDONESIA PT (PERSERO)
SINAR AGUNG STICKER,VEBA000236,SINAR AGUNG STICKER
BERJAYA,VEBA000237,BERJAYA
DELTA ELEKTRIK,VEBA000238,DELTA ELEKTRIK
COSMO MAKMUR INDONESIA.PT,VEBA000239,COSMO MAKMUR INDONESIA.PT
SAMI BERKAH,VEBA000240,SAMI BERKAH
TOKO SUPER,VEBA000241,TOKO SUPER
